bank,review,clean_review,rating,date,source,sentiment,sentiment_score,keywords,themes
CBE,"It's very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you can't get in simple search on the app.","Its very good in reminding the account numbers you have been used, but Need to show recipient history whenever you want to present it.or it has to have a search on options for a spesfic time you want to look for receipts with out going for account details at bank. if you lost your receipt without downloading it and need to look sometime a while you cant get in simple search on the app.",1,2025-02-15,Google Play,negative,0.9949551224708556,"['good', 'remind', 'account_number', 'number', 'need', 'recipient_history', 'history', 'want', 'present', 'it.or', 'search', 'option', 'spesfic', 'time', 'want', 'look', 'receipt', 'account_detail', 'detail', 'bank', 'lose', 'receipt', 'download', 'need', 'look', 'simple', 'search', 'app']","['account_management', 'customer_support', 'ui_ux_design', 'service_features']"
CBE,It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I don't know who thought this was a good idea.,It crashes multiple times everytime you launch it. Fix it. Edit: crash fixed but screenshots has been disabled. I dont know who thought this was a good idea.,1,2025-03-26,Google Play,negative,0.999254047870636,"['crash', 'multiple', 'time', 'launch', 'fix', 'edit', 'crash', 'fix', 'screenshot', 'disable', 'know', 'think', 'good', 'idea']","['app_performance', 'customer_support']"
CBE,"The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence (particularly, in case of transfer failure!).","The latest update prevents taking screenshots, which is really annoying! please allow us to take screenshots! we need it for evidence particularly, in case of transfer failure!.",1,2025-03-27,Google Play,negative,0.9978039860725404,"['late', 'update_prevent', 'prevent', 'take', 'screenshot', 'annoying', 'allow', 'screenshot', 'need', 'evidence', 'case', 'transfer_failure', 'failure']",['service_features']
CBE,"The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.","The history sometimes misses transactions, tranfer to cbe birr debited but not really transferred, We need to really cop up with the world for real. The hacks and security problems, invest on and solve them.",3,2025-03-30,Google Play,negative,0.994558334350586,"['history', 'miss', 'transaction', 'tranfer', 'debit', 'transfer', 'need', 'cop', 'world', 'real', 'hack', 'security_problem', 'problem', 'invest', 'solve']","['transaction_issues', 'app_performance', 'account_management', 'service_features']"
CBE,"every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didn't understand how much it's a really quick and significant thing. You add extra steps to us, which makes the process draw back","every update was made the system better and better until the March 19th, 2025 update, not allowing us to screenshot. you guys didnt understand how much its a really quick and significant thing. You add extra steps to us, which makes the process draw back",3,2025-04-18,Google Play,negative,0.9827151894569396,"['update', 'system', '19th', 'update', 'allow', 'screenshot', 'guy', 'understand', 'quick', 'significant', 'thing', 'add', 'extra', 'step', 'make', 'process', 'draw']","['app_performance', 'account_management', 'service_features']"
CBE,"I’ve been using the CBE mobile banking app, and overall, I appreciate its features. However, I’ve noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!","Ive been using the CBE mobile banking app, and overall, I appreciate its features. However, Ive noticed that when I turn on the developer options on my device, the app stops functioning properly. It would be great if you could look into this issue, as I often need to access developer settings for other applications. Thank you for your attention to this matter!",1,2025-01-29,Google Play,negative,0.9739907383918762,"['app', 'overall', 'appreciate', 'feature', 'notice', 'turn', 'developer_option', 'option', 'device', 'app', 'stop', 'function', 'great', 'look', 'issue', 'need', 'access', 'developer_setting', 'setting', 'application', 'thank', 'attention', 'matter']","['login_authentication', 'app_performance', 'ui_ux_design', 'service_features']"
CBE,"Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!","Very good application. However, I have one functionality recommendation. What if you let the app transfer money to any telebirr account as for MPESA? By the way, I am not the only one to ask this. Thank you!",4,2025-04-01,Google Play,positive,0.9895473718643188,"['good', 'application', 'functionality_recommendation', 'recommendation', 'let', 'app', 'transfer', 'money', 'telebirr', 'account', 'mpesa', 'way', 'ask', 'thank']","['transaction_issues', 'account_management', 'service_features']"
CBE,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,I have using the CBE mobile banking app. and overall i appreciate its Feuteres However i.ve Notticed that when i turn on the Developer options on my divice the App.Stop Functioning prorerly It.Would Be Great If You could look into This issue as l often need to access Developer setting for Otter Application ThankYou For Your attention to This Matter,4,2025-05-13,Google Play,negative,0.9474117159843444,"['app', 'overall', 'appreciate', 'feutere', 'nottice', 'turn', 'developer_option', 'option', 'divice', 'app.stop', 'functioning', 'great', 'look', 'issue', 'need', 'access', 'developer', 'set', 'otter', 'application_thankyou', 'thankyou', 'attention', 'matter']","['login_authentication', 'ui_ux_design', 'service_features']"
CBE,"In the previous, I gave 4 🌟 for this app based on my evaluation. This app was without biometric security and may be exposed to cheaters unexpectedly. It is solved now. You can add verification security on the setting app. But there is something problem still with verification. It must prevent logging in without correct input fingerprint.","In the previous, I gave 4 for this app based on my evaluation. This app was without biometric security and may be exposed to cheaters unexpectedly. It is solved now. You can add verification security on the setting app. But there is something problem still with verification. It must prevent logging in without correct input fingerprint.",5,2024-12-20,Google Play,negative,0.9973747730255128,"['previous', 'give', 'app', 'base', 'evaluation', 'app', 'biometric', 'security', 'expose', 'cheater', 'solve', 'add', 'verification_security', 'security', 'set', 'app', 'problem', 'verification', 'prevent', 'log', 'correct', 'input_fingerprint', 'fingerprint']","['login_authentication', 'app_performance', 'account_management', 'service_features']"
CBE,"I don't understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the app's functionalities. This goes out to the dev, I hope your life is filled with inconveniences.","I dont understand the reason, why I need to disable developer options to access the app, it has no security risks nor does it hinder the apps functionalities. This goes out to the dev, I hope your life is filled with inconveniences.",1,2025-04-02,Google Play,negative,0.9977797865867616,"['understand', 'reason', 'need', 'disable', 'developer_option', 'option', 'access', 'app', 'security_risk', 'risk', 'hinder', 'app', 'functionality', 'dev', 'hope', 'life', 'fill', 'inconvenience']","['login_authentication', 'ui_ux_design', 'service_features']"
